from_node,to_node,travel_time_min
98,90,10.9
33,135,3.2
71,13,3.6
17,145,19.2
117,143,7.3
136,145,19.3
57,0,11.6
13,50,8.9
22,51,13.0
95,23,5.9
98,109,10.9
88,34,9.7
15,139,8.5
57,17,11.3
28,137,6.2
47,104,10.3
57,53,10.9
81,78,2.7
45,85,10.4
149,98,19.1
40,131,6.6
117,81,4.7
123,0,15.9
21,142,4.8
148,18,3.2
135,129,17.2
99,37,4.6
35,15,6.0
97,65,11.1
136,109,13.6
1,74,7.5
147,37,7.8
129,69,9.9
80,50,7.3
146,17,11.6
42,49,2.0
143,138,7.0
45,95,2.2
133,126,12.5
128,62,1.5
30,91,17.9
29,120,17.3
110,125,16.0
14,63,13.9
38,146,18.1
41,66,16.0
27,40,14.0
38,126,20.0
115,75,9.5
111,110,18.3
117,115,13.2
87,106,11.1
18,92,19.0
60,143,8.5
52,115,8.8
30,3,17.1
97,139,2.2
73,140,2.8
134,44,2.3
102,137,2.1
65,119,4.2
38,148,3.0
85,51,15.0
49,149,17.3
84,131,9.1
123,96,1.3
111,10,14.3
45,121,9.7
69,96,8.4
118,54,9.2
87,122,9.4
60,150,9.7
92,80,2.8
128,102,17.3
3,15,13.4
10,1,15.7
143,135,3.7
97,134,18.5
33,68,11.1
56,80,19.4
44,50,3.9
18,81,5.9
149,129,6.3
84,10,1.3
94,39,17.9
26,146,3.4
130,80,9.0
81,43,18.6
146,122,4.4
10,99,4.0
100,65,6.4
125,122,15.9
97,40,11.5
56,136,18.2
55,27,7.6
115,140,18.3
139,88,1.2
85,101,12.8
46,18,2.2
36,38,5.8
58,2,9.9
54,73,9.6
93,18,12.9
131,119,4.6
18,122,15.4
126,103,18.7
68,126,14.4
44,134,1.2
41,25,7.8
