worker_id,name,service_type,node_location,price_rupees
170,Priya,cleaner,84,241.29
171,Neha,plumber,1,436.03
172,Meena,carpenter,5,447.88
173,Meena,hvac_technician,19,523.87
174,Vikas,hvac_technician,11,397.76
175,Rahul,plumber,48,290.23
176,Rajesh,hvac_technician,92,552.94
177,Neha,hvac_technician,35,427.91
178,Ramesh,painter,73,379.35
179,Sunita,plumber,84,332.88
180,Deepa,cleaner,98,304.4
181,Rajesh,electrician,64,267.1
182,Harish,carpenter,70,291.36
183,Pooja,plumber,29,423.02
184,Amit,cleaner,54,279.28
185,Rahul,painter,96,317.53
186,Deepa,carpenter,25,463.84
187,Amit,electrician,33,366.24
188,Amit,hvac_technician,49,461.2
189,Komal,electrician,40,311.81
190,Meena,hvac_technician,95,543.22
191,Laxmi,carpenter,87,409.06
192,Rahul,carpenter,99,302.79
193,Vijay,plumber,73,361.0
194,Ramesh,electrician,50,383.08
195,Vikas,electrician,60,350.46
196,Deepa,painter,14,537.79
197,Ganesh,electrician,70,255.26
198,Ramesh,painter,12,541.81
199,Pooja,electrician,15,322.0
200,Sakshi,plumber,53,402.85
201,Seema,plumber,48,372.14
202,Vikas,electrician,76,345.58
203,Deepa,cleaner,71,331.25
204,Komal,electrician,36,378.26
205,Sunita,plumber,44,351.87
206,Vikas,plumber,99,395.14
207,Sakshi,carpenter,43,425.57
208,Suresh,hvac_technician,73,401.75
209,Kiran,cleaner,47,310.71
210,Sunita,electrician,12,390.82
211,Rajesh,plumber,76,402.0
212,Ganesh,hvac_technician,91,492.85
213,Vikas,painter,73,389.21
214,Rahul,electrician,50,271.07
215,Rajesh,plumber,54,339.61
216,Rahul,painter,99,312.81
217,Dinesh,carpenter,54,481.09
218,Suresh,cleaner,47,270.75
219,Pooja,cleaner,5,327.86
220,Rahul,painter,16,439.43
221,Kiran,plumber,80,302.41
222,Deepa,painter,45,441.1
223,Anita,carpenter,68,385.63
224,Sunita,cleaner,79,301.76
225,Ramesh,plumber,58,438.59
226,Neha,painter,23,483.53
227,Laxmi,hvac_technician,47,454.66
228,Rahul,electrician,66,255.66
229,Sakshi,painter,77,319.38
230,Priya,carpenter,51,431.38
231,Kiran,plumber,82,290.11
232,Deepa,carpenter,72,272.71
233,Ramesh,cleaner,93,310.75
234,Suresh,carpenter,26,351.92
235,Vijay,electrician,15,353.75
236,Komal,electrician,50,328.0
237,Sunita,cleaner,81,270.08
238,Ajay,hvac_technician,8,491.47
239,Rajesh,hvac_technician,56,594.18
240,Meena,painter,54,360.56
241,Seema,cleaner,28,279.8
242,Dinesh,painter,62,391.73
243,Ganesh,plumber,40,294.41
244,Ramesh,plumber,92,421.2
245,Laxmi,electrician,15,373.32
246,Sakshi,hvac_technician,100,573.72
247,Seema,cleaner,49,324.14
248,Kiran,cleaner,55,213.47
249,Meena,cleaner,72,259.29
250,Laxmi,painter,59,425.93
251,Vikas,carpenter,31,340.63
252,Meena,painter,47,388.77
253,Meena,carpenter,32,408.55
254,Vijay,carpenter,84,443.27
255,Sunita,carpenter,76,260.16
256,Ramesh,carpenter,64,412.35
257,Ramesh,carpenter,9,492.53
258,Rahul,painter,10,454.52
259,Sakshi,plumber,10,350.36
260,Ajay,carpenter,51,275.36
261,Deepa,plumber,60,377.68
262,Harish,electrician,80,277.79
263,Pooja,painter,60,534.56
264,Meena,hvac_technician,26,478.69
265,Laxmi,painter,91,337.34
266,Ramesh,cleaner,89,286.77
267,Priya,hvac_technician,11,560.07
268,Kiran,painter,30,509.53
269,Seema,plumber,24,302.75
270,Anita,carpenter,42,478.79
271,Sunita,carpenter,26,412.45
272,Seema,carpenter,23,364.79
273,Meena,plumber,19,349.03
274,Seema,cleaner,99,263.6
275,Sunita,carpenter,12,263.01
276,Sakshi,carpenter,3,265.13
277,Ganesh,plumber,60,423.16
278,Suresh,electrician,84,277.31
279,Neha,plumber,18,316.56
280,Suresh,carpenter,93,442.44
281,Neha,carpenter,26,441.44
282,Anita,painter,54,467.22
283,Kiran,hvac_technician,2,422.77
284,Rahul,hvac_technician,96,364.64
285,Laxmi,hvac_technician,6,363.51
286,Rajesh,cleaner,10,324.33
287,Laxmi,carpenter,26,481.4
288,Anita,electrician,20,321.28
289,Ganesh,cleaner,61,273.5
290,Rahul,carpenter,31,313.9
291,Komal,carpenter,73,395.68
292,Manoj,cleaner,84,324.05
293,Harish,carpenter,93,367.54
294,Laxmi,painter,98,337.62
295,Vijay,carpenter,72,328.83
296,Pooja,carpenter,10,450.38
297,Anita,electrician,84,304.66
298,Manoj,carpenter,85,426.08
299,Seema,plumber,61,417.99
300,Sunita,painter,53,435.37
301,Deepa,painter,95,516.18
302,Harish,carpenter,56,423.42
303,Harish,cleaner,50,216.62
304,Kiran,hvac_technician,90,407.37
305,Sunita,cleaner,83,202.2
306,Komal,electrician,96,370.42
307,Laxmi,electrician,11,336.85
308,Rajesh,cleaner,37,305.9
309,Sunita,cleaner,70,252.03
310,Harish,hvac_technician,52,412.28
311,Ramesh,hvac_technician,33,598.16
312,Manoj,painter,39,327.49
313,Laxmi,carpenter,53,268.12
314,Amit,painter,3,545.37
315,Anita,electrician,52,302.22
316,Manoj,painter,55,336.55
317,Rajesh,cleaner,82,313.01
318,Seema,painter,35,308.92
319,Vijay,painter,51,362.2
320,Rajesh,cleaner,89,254.77
321,Ajay,carpenter,59,396.23
322,Harish,hvac_technician,40,393.71
323,Suresh,painter,67,397.78
324,Neha,painter,14,338.98
325,Kiran,electrician,37,283.15
326,Kiran,carpenter,27,403.32
327,Anita,cleaner,60,342.56
328,Amit,plumber,24,409.8
329,Anita,carpenter,85,454.8
330,Ajay,cleaner,75,339.32
331,Laxmi,carpenter,8,264.17
332,Dinesh,electrician,36,376.19
333,Meena,carpenter,27,273.37
334,Harish,painter,87,495.06
335,Ganesh,plumber,79,413.71
336,Ajay,plumber,51,432.66
337,Pooja,hvac_technician,13,515.1
338,Rahul,electrician,65,250.24
339,Ramesh,electrician,74,355.05
340,Priya,painter,42,335.76
341,Amit,cleaner,48,297.59
342,Vijay,hvac_technician,28,489.13
343,Ganesh,hvac_technician,63,407.05
344,Harish,cleaner,3,254.07
345,Harish,painter,95,519.04
346,Pooja,carpenter,25,307.74
347,Ajay,carpenter,40,328.72
348,Neha,plumber,22,342.78
349,Komal,electrician,5,376.11
350,Deepa,cleaner,38,305.02
351,Rahul,plumber,85,439.48
352,Dinesh,painter,92,337.86
353,Priya,electrician,10,268.35
354,Deepa,cleaner,52,235.91
355,Rahul,carpenter,31,483.33
356,Laxmi,plumber,64,304.12
357,Dinesh,electrician,10,317.42
358,Seema,electrician,93,277.47
359,Ajay,painter,10,485.45
360,Rahul,electrician,89,344.5
361,Neha,hvac_technician,8,426.08
362,Vijay,hvac_technician,39,592.19
363,Ajay,painter,16,391.61
364,Sakshi,electrician,62,368.19
365,Sakshi,carpenter,54,487.25
366,Deepa,carpenter,8,494.13
367,Neha,painter,7,455.65
368,Priya,plumber,4,338.67
369,Amit,plumber,48,347.1
370,Harish,electrician,34,357.98
371,Dinesh,painter,62,531.33
372,Rahul,plumber,7,355.16
373,Anita,plumber,69,381.45
374,Komal,painter,25,440.65
375,Kiran,hvac_technician,63,451.07
376,Amit,carpenter,18,478.11
377,Amit,hvac_technician,99,537.07
378,Sakshi,painter,66,472.57
379,Manoj,painter,32,546.43
380,Anita,cleaner,57,268.78
381,Rahul,painter,1,307.48
382,Ajay,plumber,5,406.3
383,Komal,cleaner,46,300.87
384,Suresh,cleaner,78,290.81
385,Vijay,hvac_technician,13,373.06
386,Seema,hvac_technician,97,364.71
387,Seema,hvac_technician,66,540.37
388,Priya,hvac_technician,23,598.72
389,Manoj,hvac_technician,62,447.38
390,Sunita,electrician,42,353.17
391,Seema,carpenter,35,318.0
392,Rajesh,electrician,64,386.24
393,Vijay,painter,49,453.71
394,Manoj,electrician,88,279.61
395,Deepa,carpenter,90,484.69
396,Komal,painter,55,377.34
397,Rahul,hvac_technician,83,474.07
398,Seema,electrician,32,389.62
399,Vijay,plumber,57,436.22
