section,heap_id,node,production_time,safe_duration,current_time,time_left
ROADS,62,63,4.3,,,
ROADS,63,64,3.8,,,
ROADS,64,65,5.2,,,
ROADS,65,66,2.6,,,
ROADS,66,67,4.0,,,
ROADS,67,68,4.7,,,
ROADS,68,69,3.3,,,
ROADS,69,70,5.4,,,
ROADS,70,71,2.9,,,
ROADS,71,72,4.4,,,
ROADS,72,73,3.9,,,
ROADS,73,74,5.3,,,
ROADS,74,75,2.7,,,
ROADS,75,76,4.1,,,
ROADS,76,77,4.6,,,
ROADS,77,78,3.2,,,
ROADS,78,79,5.5,,,
ROADS,79,80,2.8,,,
ROADS,80,81,4.3,,,
ROADS,81,82,3.8,,,
ROADS,82,83,5.2,,,
ROADS,83,84,2.6,,,
ROADS,84,85,4.0,,,
ROADS,85,86,4.7,,,
ROADS,86,87,3.3,,,
ROADS,87,88,5.4,,,
ROADS,88,89,2.9,,,
ROADS,89,90,4.4,,,
ROADS,90,91,3.9,,,
ROADS,91,92,5.3,,,
ROADS,92,93,2.7,,,
ROADS,93,94,4.1,,,
ROADS,94,95,4.6,,,
ROADS,95,96,3.2,,,
ROADS,9
