source,destination,distance_m,walk_time_min,path_type,accessibility_level
Gate_1,Security_Office,20,1,paved_path,high
Gate_1,Reception,100,2,road,high
Gate_2,Delivery_Zone,50,1,road,medium
Gate_2,Warehouse,150,2,road,low
Gate_3,Sports_Fields,200,3,gravel_path,medium
Sports_Fields,Cricket_Ground,100,2,grass,medium
Cricket_Ground,Pavilion,50,1,paved_path,high
Pavilion,Locker_Rooms,30,1,corridor,high
Locker_Rooms,Swimming_Pool,40,1,tiled_path,low
Swimming_Pool,Sauna,10,1,tiled_path,medium
Gym_A,Yoga_Centre,30,1,wooden_floor,high
Yoga_Centre,Meditation_Hall,40,1,stone_path,high
Meditation_Hall,Garden_Zen,60,1,gravel_path,low
Garden_Zen,Botanical_Garden,150,2,dirt_path,low
Botanical_Garden,Bio_Dept,200,3,paved_path,medium
Health_Centre,Pharmacy,20,1,corridor,high
Health_Centre,Emergency_Ward,30,1,ramp,high
Emergency_Ward,Ambulance_Bay,20,1,road,high
Pharmacy,Convenience_Store,50,1,walkway,high
Convenience_Store,ATM_Kiosk,10,1,paved_path,high
ATM_Kiosk,Bank_Branch,20,1,paved_path,high
Bank_Branch,Post_Office,40,1,road,high
Post_Office,Courier_Desk,15,1,corridor,high
Courier_Desk,Admin_Block,150,2,walkway,high
Incubator_Centre,Startup_Office_1,20,1,glass_corridor,high
Incubator_Centre,Meeting_Pod,15,1,carpeted_path,high
Startup_Office_1,Startup_Office_2,10,1,corridor,high
Startup_Office_2,Cafeteria_Roof,30,1,stairs,medium
Cafeteria_Roof,Sky_Walk,100,2,bridge,medium
Sky_Walk,Library_Roof,150,2,bridge,high
Library_Roof,Observatory,40,1,spiral_stairs,low
Observatory,Physics_Dept,200,3,elevator,high
Language_Lab,Humanities_Block,50,1,corridor,high
Humanities_Block,Social_Science_Wing,60,1,corridor,high
Social_Science_Wing,Psychology_Lab,30,1,walkway,high
Psychology_Lab,Counselling_Centre,20,1,corridor,high
Counselling_Centre,Student_Activity_Centre,150,2,walkway,high
Student_Activity_Centre,Debate_Club,30,1,corridor,high
Debate_Club,Robotics_Club,40,1,corridor,high
Robotics_Club,Drone_Testing_Zone,100,2,netted_area,low
Drone_Testing_Zone,Electronics_Lab,80,1,paved_path,high
Electronics_Lab,Signal_Processing_Unit,40,1,corridor,high
Signal_Processing_Unit,Antenna_Tower,200,3,gravel_path,low
Antenna_Tower,Radio_Station,50,1,paved_path,medium
Radio_Station,Media_Centre,60,1,soundproof_hall,high
Media_Centre,Video_Editing_Suite,20,1,corridor,high
Video_Editing_Suite,Animation_Studio,30,1,corridor,high
Animation_Studio,Graphic_Design_Lab,25,1,corridor,high
Graphic_Design_Lab,Art_Gallery,50,1,walkway,high
Art_Gallery,Sculpture_Garden,40,1,gravel_path,medium
Sculpture_Garden,Ceramics_Workshop,30,1,dirt_path,low
Ceramics_Workshop,Kiln_Area,20,1,paved_path,medium
Kiln_Area,Fire_Station_Outpost,300,5,road,high
Fire_Station_Outpost,Water_Tank,100,2,service_road,low
Water_Tank,Power_Grid,150,2,service_road,low
Power_Grid,Maintenance_Shed,50,1,gravel_path,medium
Maintenance_Shed,Carpentry_Shop,40,1,concrete_path,high
Carpentry_Shop,Plumbing_Unit,30,1,concrete_path,high
Plumbing_Unit,Electrical_Room,30,1,concrete_path,high
Electrical_Room,Backup_Generator,20,1,concrete_path,medium
Backup_Generator,Server_Room_B,100,2,underground_tunnel,low
Server_Room_B,IT_Support,60,1,elevator,high
IT_Support,Helpdesk,20,1,corridor,high
Helpdesk,Lost_and_Found,10,1,corridor,high
Lost_and_Found,Security_Desk,15,1,corridor,high
Security_Desk,Main_Lobby,30,1,marble_floor,high
Main_Lobby,Waiting_Area,20,1,carpeted_path,high
Waiting_Area,Reception_Desk,10,1,carpeted_path,high
Reception_Desk,Elevator_Bank_A,15,1,marble_floor,high
Elevator_Bank_A,Roof_Top_Garden,60,1,elevator,high
Roof_Top_Garden,Solar_Panel_Array,40,1,walkway,medium
Solar_Panel_Array,Wind_Turbine_Small,50,1,gravel_path,low
Wind_Turbine_Small,Weather_Station,30,1,metal_walkway,medium
Weather_Station,Geography_Dept,200,3,stairs,medium
Geography_Dept,Geology_Museum,40,1,corridor,high
Geology_Museum,Rock_Garden,30,1,stone_path,medium
Rock_Garden,Mining_Eng_Block,100,2,road,high
Mining_Eng_Block,Tunnel_Sim_Lab,50,1,underground_path,low
Tunnel_Sim_Lab,Safety_Training_Centre,60,1,corridor,high
Safety_Training_Centre,Fire_Drill_Area,120,2,open_ground,low
Fire_Drill_Area,Disaster_Mgmt_Cell,80,1,road,high
Disaster_Mgmt_Cell,Control_Room,20,1,secure_corridor,high
Control_Room,Briefing_Hall,30,1,corridor,high
Briefing_Hall,Press_Room,25,1,corridor,high
Press_Room,Media_Lawn,40,1,grass,medium
Media_Lawn,Fountain_Square,60,1,paved_path,high
Fountain_Square,Ice_Cream_Parlour,20,1,walkway,high
Ice_Cream_Parlour,Juice_Bar,15,1,walkway,high
Juice_Bar,Sandwich_Corner,10,1,walkway,high
Sandwich_Corner,Noodle_Station,10,1,walkway,high
Noodle_Station,Pizza_Hut,10,1,walkway,high
Pizza_Hut,Burger_Joint,10,1,walkway,high
Burger_Joint,Food_Court_Seating,20,1,tiled_path,high
Food_Court_Seating,Washrooms_Public,30,1,corridor,high
Washrooms_Public,Water_Cooler_Stn,10,1,corridor,high
Water_Cooler_Stn,Vending_Machine_Zone,15,1,corridor,high
Vending_Machine_Zone,Study_Lounge,50,1,carpeted_path,high
Study_Lounge,Quiet_Zone,20,1,glass_door,high
Quiet_Zone,Reading_Room,30,1,corridor,high
Reading_Room,Thesis_Section,40,1,aisle,high
Thesis_Section,Digital_Archive,20,1,aisle,high
Digital_Archive,Microfilm_Viewer,10,1,aisle,high
Microfilm_Viewer,Librarian_Desk,30,1,aisle,high
Librarian_Desk,Check_Out_Counter,15,1,aisle,high
Check_Out_Counter,Bag_Deposit,10,1,corridor,high
Bag_Deposit,Entrance_Turnstile,5,1,metal_gate,high
Entrance_Turnstile,Bicycle_Rack,30,1,paved_path,high
Bicycle_Rack,Scooter_Parking,20,1,road,high
Scooter_Parking,Car_Parking_Visitors,50,1,road,high
Car_Parking_Visitors,Ticket_Booth,10,1,paved_path,high
Ticket_Booth,Event_Entry,40,1,barricaded_path,medium
Event_Entry,Stadium_Stand_A,100,2,ramp,high
Stadium_Stand_A,Stadium_Stand_B,200,3,walkway,medium
Stadium_Stand_B,VIP_Box,50,1,elevator,high
VIP_Box,Commentary_Box,20,1,stairs,medium
Commentary_Box,Broadcast_Room,15,1,corridor,high
Broadcast_Room,Floodlight_Tower_1,100,2,service_path,low
Floodlight_Tower_1,Floodlight_Tower_2,150,2,grass,medium
Floodlight_Tower_2,Scoreboard,80,1,grass,low
Scoreboard,Groundskeeper_Shed,40,1,dirt_path,low
Groundskeeper_Shed,Fertilizer_Store,20,1,concrete_path,medium
Fertilizer_Store,Tractor_Garage,30,1,concrete_path,medium
Tractor_Garage,Back_Exit_Road,50,1,gravel_path,low
Back_Exit_Road,Highway_Access,500,8,road,high
Highway_Access,Toll_Plaza,200,3,road,high
Toll_Plaza,Service_Lane,100,2,road,medium
Service_Lane,Staff_Colony_Gate,300,5,road,high
Staff_Colony_Gate,Principal_House,150,2,tree_lined_ave,high
Principal_House,Warden_House,100,2,road,high
Warden_House,Proctor_Office,250,4,road,medium
Proctor_Office,Exam_Cell,80,1,corridor,high
Exam_Cell,Strong_Room,20,1,secure_corridor,medium
Strong_Room,Paper_Store,15,1,corridor,high
Paper_Store,Evaluation_Hall,50,1,corridor,high
Evaluation_Hall,Result_Section,30,1,corridor,high
Result_Section,Transcript_Window,20,1,glass_window,high
Transcript_Window,Accounts_Dept,100,2,walkway,high
Accounts_Dept,Cashier,15,1,corridor,high
Cashier,Scholarship_Section,20,1,corridor,high
Scholarship_Section,Admission_Office,50,1,corridor,high
Admission_Office,Enquiry_Counter,10,1,corridor,high
Enquiry_Counter,Waiting_Lounge,20,1,sofa_area,high
Waiting_Lounge,Water_Fountain,10,1,corridor,high
Water_Fountain,Restroom_Staff,15,1,corridor,high
Restroom_Staff,Restroom_Student,10,1,corridor,high
Restroom_Student,Janitor_Closet,5,1,corridor,low
Janitor_Closet,Basement_Stairs,10,1,doorway,medium
Basement_Stairs,Boiler_Room,50,1,stairs,low
Boiler_Room,AC_Plant,40,1,concrete_floor,medium
AC_Plant,Ventilation_Shaft,30,1,narrow_path,low
Ventilation_Shaft,Roof_Access,100,2,ladder,low
Roof_Access,Water_Tank_Overflow,20,1,walkway,low
Water_Tank_Overflow,Rainwater_Pit,150,2,pipe_line,low
Rainwater_Pit,Lake_Side,200,3,mud_path,low
Lake_Side,Boat_Club,100,2,wooden_planks,medium
Boat_Club,Jetty,50,1,wooden_planks,medium
Jetty,Island_Gazebo,200,10,boat_ride,high
Island_Gazebo,Duck_Pond,50,1,grass,medium
Duck_Pond,Walking_Track,30,1,paved_path,high
Walking_Track,Jogging_Track,10,1,synthetic_track,high
Jogging_Track,Cycling_Path,10,1,asphalt,high
Cycling_Path,Skate_Park,100,2,concrete,medium
Skate_Park,Graffiti_Wall,40,1,concrete,medium
Graffiti_Wall,Old_Tree,20,1,dirt_path,medium
Old_Tree,Memorial_Statue,50,1,paved_path,high
Memorial_Statue,Flag_Pole,30,1,paved_path,high
Flag_Pole,Parade_Ground,100,2,asphalt,high
Parade_Ground,NCC_Office,50,1,corridor,high
NCC_Office,NSS_Room,20,1,corridor,high
NSS_Room,Social_Service_Wing,30,1,corridor,high
Social_Service_Wing,Orphanage_Tieup,500,10,road,medium
Orphanage_Tieup,Village_Road,800,15,dirt_road,low
Village_Road,Primary_School,200,4,dirt_road,medium
Primary_School,Community_Centre,150,3,walkway,medium
Community_Centre,Bus_Stop_Village,100,2,road,medium
Bus_Stop_Village,Campus_Back_Entry,600,10,trail,low
Campus_Back_Entry,Forest_Area,100,2,trail,low
Forest_Area,Camping_Ground,200,4,trail,low
Camping_Ground,Bonfire_Pit,20,1,dirt,low
Bonfire_Pit,Trekking_Start_Point,50,1,rocky_path,low
Trekking_Start_Point,Hill_Top_View,1000,25,steep_trail,low
Hill_Top_View,Sunset_Point,100,3,rocky_path,medium
Sunset_Point,Old_Watchtower,50,1,paved_path,high
Old_Watchtower,Campus_Edge_Wall,1500,10,trail,low
Campus_Edge_Wall,City_Bus_Stop,200,3,road,high
City_Bus_Stop,Metro_Station,500,7,sidewalk,high
Metro_Station,Downtown_Campus,3000,30,train_ride,high
Downtown_Campus,Evening_MBA_Block,200,3,road,high
Evening_MBA_Block,Executive_Lounge,50,1,carpet,high
Executive_Lounge,Conf_Room_B,20,1,carpet,high
Conf_Room_B,Reception_DownTown,10,1,carpet,high
Reception_DownTown,Elevator_Lobby,15,1,carpet,high
Elevator_Lobby,Roof_Restaurant,30,1,elevator,high
Roof_Restaurant,Terrace_Seating,10,1,deck,medium
Terrace_Seating,Fire_Escape,20,1,stairs,low
Fire_Escape,Alley_Exit,15,1,concrete,medium
Alley_Exit,Main_Street_South,50,1,paved,high
Main_Street_South,Book_Market,100,2,road,high
Book_Market,Old_Coffee_House,80,1,paved_path,high
Old_Coffee_House,Basement_Library,30,1,stairs,medium
Basement_Library,Archives_Section,50,1,aisle,high
Archives_Section,Microfiche_Reader,10,1,table,high
Microfiche_Reader,Rare_Books,5,1,restricted,low
Rare_Books,Librarian_Office,5,1,door,high
Librarian_Office,Staff_Exit,10,1,corridor,high
Staff_Exit,Parking_Rear,50,1,asphalt,medium
Parking_Rear,Loading_Zone,20,1,concrete,medium
Loading_Zone,Dumpster_Area,10,1,concrete,low
Dumpster_Area,Recycle_Bin,5,1,concrete,high
Recycle_Bin,Compost_Bin,5,1,dirt,medium
Compost_Bin,Garden_Shed,10,1,dirt,low
Garden_Shed,Greenhouse_Small,20,1,gravel,medium
Greenhouse_Small,Botany_Lab_2,50,1,paved,high
Botany_Lab_2,Microbiology_Lab,30,1,corridor,high
Microbiology_Lab,Incubator_Room,10,1,corridor,high
Incubator_Room,Freezer_Room,10,1,insulated_floor,medium
Freezer_Room,Sample_Storage,5,1,shelves,high
Sample_Storage,Lab_Manager_Desk,15,1,floor,high
Lab_Manager_Desk,Safety_Shower,5,1,tiled,high
Safety_Shower,Eye_Wash_Stn,2,1,tiled,high
Eye_Wash_Stn,First_Aid_Kit,2,1,wall_mount,high
First_Aid_Kit,Exit_Lab,5,1,door,high
Exit_Lab,Corridor_Main,10,1,floor,high
Corridor_Main,Stairs_Up,10,1,stairs,medium
Stairs_Up,Roof_Access_Door,20,1,stairs,low
Roof_Access_Door,Solar_Inverter,30,1,gravel_roof,low
Solar_Inverter,Panel_Row_1,10,1,gravel_roof,low
Panel_Row_1,Panel_Row_2,5,1,gravel_roof,low
Panel_Row_2,Lightning_Arrester,20,1,gravel_roof,low
Lightning_Arrester,Edge_Railing,10,1,gravel_roof,low
Edge_Railing,Bird_Feeder,5,1,pole,low
Bird_Feeder,Tree_Top_View,0,0,visual,high
Tree_Top_View,Ground,15,1,ladder,low
Ground,Sports_Shed,20,1,grass,medium
Sports_Shed,Cricket_Kit_Room,10,1,concrete,medium
Cricket_Kit_Room,Pitch_Cover_Store,15,1,concrete,medium
Pitch_Cover_Store,Grounds_Office,10,1,concrete,high
Grounds_Office,Water_Hose,5,1,wall_mount,high
Water_Hose,Sprinkler_Valve,20,1,grass,medium
Sprinkler_Valve,Drainage_Grate,10,1,grass,low
Drainage_Grate,Sewer_Line_Access,5,1,manhole,low
Sewer_Line_Access,Road_Main,30,1,grass,medium
Road_Main,Speed_Breaker,50,1,asphalt,high
Speed_Breaker,Crosswalk,20,1,paint,high
Crosswalk,Bus_Stop_Internal,10,1,paved,high
Bus_Stop_Internal,Bench,2,1,wood,high
Bench,Trash_Can,2,1,metal,high
Trash_Can,Street_Light,5,1,pole,high
Street_Light,Sign_Board,2,1,pole,high
Sign_Board,Map_Stand,2,1,glass,high
Map_Stand,You_Are_Here,0,0,marker,high
You_Are_Here,Destination,100,2,path,high
Destination,Success,0,0,state,high
