heap_id,graph_node,production_time_min,safe_duration_min,current_time,time_left_min
128,69,75,94,180,-11
129,60,168,131,180,119
130,23,129,87,180,36
131,107,91,54,180,-35
132,123,183,24,180,27
133,115,82,22,180,-76
134,123,186,75,180,81
135,123,131,20,180,-29
136,109,151,22,180,-7
137,50,77,87,180,-16
138,13,144,131,180,95
139,14,156,99,180,75
140,64,82,79,180,-19
141,36,142,128,180,90
142,73,93,78,180,-9
143,23,117,119,180,56
144,23,198,14,180,32
145,57,179,105,180,104
146,30,85,112,180,17
147,30,121,85,180,26
148,101,115,113,180,48
149,129,177,27,180,24
150,120,186,9,180,15
151,96,103,23,180,-54
152,107,137,15,180,-28
153,50,126,127,180,73
154,44,139,103,180,62
155,25,80,50,180,-50
156,71,108,73,180,1
157,137,118,55,180,-7
158,55,123,17,180,-40
159,22,152,66,180,38
160,19,71,32,180,-77
161,137,132,60,180,12
162,99,200,21,180,41
163,127,89,66,180,-25
164,122,130,85,180,35
165,17,189,22,180,31
166,137,70,26,180,-84
167,26,133,114,180,67
168,45,173,108,180,101
169,71,173,67,180,60
170,128,182,127,180,129
171,116,156,104,180,80
172,45,184,40,180,44
173,9,198,64,180,82
174,59,136,44,180,0
175,130,163,42,180,25
176,72,181,112,180,113
177,102,165,98,180,83
178,96,82,12,180,-86
179,42,126,44,180,-10
180,123,134,120,180,74
181,149,195,39,180,54
182,135,139,6,180,-35
183,20,154,56,180,30
184,37,190,146,180,156
185,141,151,93,180,64
186,88,126,63,180,9
187,141,67,7,180,-106
188,136,166,25,180,11
189,122,106,81,180,7
190,77,104,45,180,-31
191,106,179,55,180,54
192,113,115,16,180,-49
193,50,95,30,180,-55
194,141,100,10,180,-70
195,81,68,98,180,-14
196,20,108,71,180,-1
197,117,157,135,180,112
198,56,146,136,180,102
199,56,72,71,180,-37
200,136,92,42,180,-46
201,54,130,111,180,61
202,58,122,7,180,-51
203,20,164,85,180,69
204,33,102,76,180,-2
205,49,146,137,180,103
206,131,101,23,180,-56
207,136,134,122,180,76
208,20,71,71,180,-38
209,96,83,136,180,39
210,109,112,141,180,73
211,90,192,100,180,112
212,44,153,116,180,89
213,61,109,88,180,17
214,149,108,5,180,-67
215,53,129,42,180,-9
216,47,179,7,180,6
217,64,132,51,180,3
218,41,178,57,180,55
219,107,134,143,180,97
220,61,80,87,180,-13
221,28,122,105,180,47
222,106,117,64,180,1
223,32,154,148,180,122
224,149,107,28,180,-45
225,128,67,94,180,-19
226,141,148,91,180,59
227,128,101,114,180,35
228,43,125,44,180,-11
229,84,188,13,180,21
230,61,135,108,180,63
231,89,66,8,180,-106
232,97,125,105,180,50
233,68,126,72,180,18
234,70,170,46,180,36
235,53,160,135,180,115
236,28,73,12,180,-95
237,89,119,119,180,58
238,45,168,109,180,97
239,28,113,35,180,-32
240,86,128,25,180,-27
241,43,91,58,180,-31
242,131,168,120,180,108
243,95,111,121,180,52
244,38,165,25,180,10
245,61,194,47,180,61
246,104,128,68,180,16
247,95,116,11,180,-53
248,60,116,102,180,38
249,124,172,141,180,133
250,94,120,9,180,-51
251,96,178,55,180,53
252,50,114,77,180,11
253,23,147,118,180,85
254,124,197,146,180,163
255,75,120,19,180,-41
256,63,78,77,180,-25
257,27,63,27,180,-90
258,99,71,59,180,-50
259,110,64,126,180,10
260,119,197,47,180,64
261,47,146,64,180,30
262,25,173,104,180,97
263,38,109,57,180,-14
264,119,91,10,180,-79
265,10,67,15,180,-98
266,84,122,114,180,56
267,78,178,14,180,12
268,8,172,71,180,63
269,135,120,139,180,79
270,146,116,119,180,55
271,65,112,111,180,43
272,45,186,10,180,16
273,90,179,112,180,111
274,15,95,47,180,-38
275,12,63,77,180,-40
276,136,97,96,180,13
277,103,198,150,180,168
278,103,140,31,180,-9
279,48,200,101,180,121
280,108,130,100,180,50
281,72,102,91,180,13
282,69,166,51,180,37
283,99,197,97,180,114
284,10,109,147,180,76
285,35,132,36,180,-12
286,113,118,150,180,88
287,124,102,133,180,55
288,15,155,137,180,112
289,132,154,49,180,23
290,139,85,93,180,-2
291,74,159,44,180,23
292,90,154,32,180,6
293,19,66,123,180,9
294,139,169,104,180,93
295,18,135,94,180,49
296,149,184,65,180,69
297,149,104,25,180,-51
298,55,69,32,180,-79
299,148,143,118,180,81
300,127,120,66,180,6
301,123,191,39,180,50
302,20,72,77,180,-31
303,37,111,126,180,57
304,111,142,140,180,102
305,53,103,58,180,-19
306,98,131,24,180,-25
307,57,191,57,180,68
308,32,192,138,180,150
309,67,183,56,180,59
310,39,99,18,180,-63
311,115,121,71,180,12
312,97,138,99,180,57
313,21,69,99,180,-12
314,62,149,120,180,89
315,59,166,5,180,-9
316,86,145,39,180,4
317,92,61,66,180,-53
318,86,164,24,180,8
319,112,129,104,180,53
320,39,94,88,180,2
321,27,63,31,180,-86
322,51,107,63,180,-10
323,146,85,35,180,-60
324,17,176,9,180,5
325,85,73,136,180,29
326,82,111,85,180,16
327,45,127,63,180,10
328,72,182,32,180,34
329,123,76,7,180,-97
330,147,184,28,180,32
331,139,169,104,180,93
332,98,124,38,180,-18
333,55,116,141,180,77
334,84,128,115,180,63
335,64,149,81,180,50
336,120,119,98,180,37
337,150,69,31,180,-80
338,21,81,69,180,-30
339,46,157,113,180,90
340,93,88,41,180,-51
341,130,99,23,180,-58
342,148,196,42,180,58
343,76,186,126,180,132
344,127,89,41,180,-50
345,83,158,35,180,13
346,107,82,109,180,11
347,131,86,131,180,37
348,14,146,54,180,20
349,38,156,12,180,-12
350,97,159,11,180,-10
351,95,146,62,180,28
352,28,139,12,180,-29
353,25,112,59,180,-9
354,147,77,83,180,-20
355,135,69,84,180,-27
356,125,107,100,180,27
357,118,67,19,180,-94
358,55,77,58,180,-45
359,110,179,102,180,101
360,131,70,27,180,-83
361,47,134,126,180,80
362,49,167,54,180,41
363,52,133,139,180,92
364,98,77,106,180,3
365,80,164,63,180,47
366,132,121,106,180,47
367,126,91,117,180,28
368,12,109,91,180,20
369,145,87,69,180,-24
370,96,61,30,180,-89
371,66,179,136,180,135
372,84,136,84,180,40
373,46,81,103,180,4
374,139,72,141,180,33
375,35,64,13,180,-103
376,64,107,49,180,-24
377,54,161,126,180,107
378,20,186,40,180,46
379,85,60,97,180,-23
380,97,106,118,180,44
381,102,175,103,180,98
382,85,99,37,180,-44
383,137,95,49,180,-36
384,106,103,145,180,68
385,18,156,60,180,36
386,147,77,145,180,42
387,15,108,34,180,-38
388,9,138,45,180,3
389,32,185,45,180,50
390,14,90,59,180,-31
391,22,114,93,180,27
392,54,174,145,180,139
393,53,65,103,180,-12
394,44,96,107,180,23
395,34,61,17,180,-102
396,50,67,81,180,-32
397,9,177,80,180,77
398,70,77,143,180,40
399,61,180,51,180,51
400,21,200,47,180,67
401,9,118,16,180,-46
402,125,164,148,180,132
403,32,148,96,180,64
404,49,115,102,180,37
