route_id,stop_1,stop_2,distance_km,travel_time_min,frequency_per_hour,capacity,route_type,road_condition
T19,Main_Hub_Gate,Helipad_VIP,3.0,10,1,5,vip_transit,good
T19,Helipad_VIP,Board_Room_Annex,1.0,4,1,5,vip_transit,excellent
T20,Testing_Lab_A,Testing_Lab_B,0.4,2,4,20,inter_dept,good
T20,Testing_Lab_B,Certification_Auth,0.5,2,4,20,inter_dept,good
T20,Certification_Auth,Testing_Lab_A,0.8,3,4,20,inter_dept,good
T21,Main_Hub_Gate,Visitor_Parking,0.3,2,5,15,shuttle,excellent
T21,Visitor_Parking,Reception_Main,0.4,2,5,15,shuttle,excellent
T21,Reception_Main,Main_Hub_Gate,0.6,3,5,15,shuttle,good
T22,Software_Block_1,Software_Block_2,0.5,2,4,30,campus_loop,good
T22,Software_Block_2,Hardware_Lab,0.7,3,4,30,campus_loop,good
T22,Hardware_Lab,Software_Block_1,1.0,4,4,30,campus_loop,good
T23,Main_Hub_Gate,Waste_Mgmt_Plant,1.5,6,1,10,utility,average
T23,Waste_Mgmt_Plant,Recycling_Yard,0.3,1,1,10,utility,average
T23,Recycling_Yard,Main_Hub_Gate,1.7,7,1,10,utility,average
T24,Food_Court_Central,Tower_Alpha,0.6,3,6,40,lunch_shuttle,good
T24,Food_Court_Central,Tower_Beta,0.6,3,6,40,lunch_shuttle,good
T24,Food_Court_Central,Tower_Gamma,0.7,3,6,40,lunch_shuttle,good
T25,Main_Hub_Gate,Bike_Sharing_Stn,0.1,1,10,0,last_mile,excellent
T25,Bike_Sharing_Stn,Tower_Alpha,0.8,4,10,1,bike_lane,good
T25,Bike_Sharing_Stn,Tower_Beta,0.9,5,10,1,bike_lane,good
T26,Night_Shift_Hostel,BPO_Center,0.5,2,4,25,night_shuttle,good
T26,BPO_Center,Canteen_24x7,0.3,1,4,25,night_shuttle,excellent
T26,Canteen_24x7,Night_Shift_Hostel,0.7,3,4,25,night_shuttle,good
T27,Main_Hub_Gate,Police_Station,0.8,3,2,5,security_patrol,good
T27,Police_Station,Perimeter_Fence_N,1.5,6,2,5,security_patrol,bad
T27,Perimeter_Fence_N,Main_Hub_Gate,2.0,8,2,5,security_patrol,average
T28,Auditorium,Overflow_Parking,0.5,2,2,40,event_shuttle,average
T28,Overflow_Parking,Auditorium,0.5,2,2,40,event_shuttle,average
T29,Main_Hub_Gate,Smart_City_Demo,1.2,5,3,15,client_tour,excellent
T29,Smart_City_Demo,IoT_Garden,0.4,2,3,15,client_tour,excellent
T29,IoT_Garden,Main_Hub_Gate,1.5,6,3,15,client_tour,good
T30,EV_Charging_Hub,Tower_Alpha_Parking,0.2,1,5,0,utility,excellent
T30,EV_Charging_Hub,Tower_Beta_Parking,0.2,1,5,0,utility,excellent
T31,Main_Hub_Gate,Railway_Stn_Local,4.0,15,3,45,connector,average
T31,Railway_Stn_Local,Main_Hub_Gate,4.0,15,3,45,connector,average
T32,Tower_Sigma,Library_Tech,0.4,2,2,10,walkway,excellent
T32,Library_Tech,Coffee_Shop,0.1,1,2,10,walkway,excellent
T33,Main_Hub_Gate,Sports_Arena,1.8,7,2,30,rec_shuttle,good
T33,Sports_Arena,Tennis_Courts,0.2,1,2,30,rec_shuttle,good
T33,Tennis_Courts,Main_Hub_Gate,2.0,8,2,30,rec_shuttle,good
T34,Facilities_Building,Gardening_Nursery,0.5,2,1,5,utility_cart,average
T34,Gardening_Nursery,Compost_Pit,0.3,1,1,5,utility_cart,bad
T34,Compost_Pit,Facilities_Building,0.7,3,1,5,utility_cart,average
T35,Main_Hub_Gate,Residential_Complex,3.0,12,3,35,commuter,good
T35,Residential_Complex,School_International,0.5,2,3,35,commuter,good
T35,School_International,Main_Hub_Gate,3.5,14,3,35,commuter,good
T36,Bank_Branch,Forex_Desk,0.1,1,5,0,walkway,excellent
T36,Forex_Desk,Safe_Deposit_Vault,0.1,1,5,0,walkway,excellent
T37,Main_Hub_Gate,Taxi_Stand,0.1,1,10,4,last_mile,excellent
T37,Taxi_Stand,Main_Hub_Gate,0.1,1,10,4,last_mile,excellent
T38,Tower_Zeta,Call_Center_Wing,0.3,1,5,20,inter_bldg,excellent
T38,Call_Center_Wing,Training_Rooms,0.3,1,5,20,inter_bldg,excellent
T38,Training_Rooms,Tower_Zeta,0.5,2,5,20,inter_bldg,excellent
T39,Main_Hub_Gate,Hotel_Business,2.0,8,2,15,shuttle,good
T39,Hotel_Business,Convention_Annex,0.5,2,2,15,shuttle,excellent
T39,Convention_Annex,Main_Hub_Gate,2.4,10,2,15,shuttle,good
