camera_id,x_coord,y_coord,coverage_radius_units
95,-11.3,18.7,4.9
96,-0.7,38.0,9.1
97,37.4,-41.3,8.2
98,46.3,4.4,8.1
99,5.3,47.3,10.5
100,4.0,-28.4,5.8
101,-1.7,-41.2,8.6
102,48.2,-33.2,11.3
103,-35.0,40.5,9.1
104,18.3,41.0,9.8
105,44.7,47.7,8.8
106,-16.6,42.1,9.4
107,-16.7,-35.4,7.6
108,-13.0,-5.0,5.6
109,-18.1,-34.2,8.5
110,-42.5,-23.6,7.9
111,-4.8,21.2,6.5
112,14.6,-25.7,5.8
113,46.0,23.0,7.5
114,-21.9,-5.0,5.2
115,-24.7,33.0,7.1
116,49.0,1.8,10.7
117,-3.0,-18.8,5.0
118,-34.5,45.3,10.2
119,-35.4,-31.7,8.9
120,21.4,46.7,7.9
121,17.2,27.0,7.6
122,-19.3,7.7,7.3
123,-3.9,45.8,7.3
124,35.1,-1.1,6.3
125,38.9,34.3,8.3
126,-12.7,-15.1,3.5
127,-30.1,47.1,8.0
128,-14.7,-32.5,7.2
129,-6.0,-29.6,7.7
130,45.7,-16.2,9.9
131,-35.4,12.7,5.8
132,43.3,18.2,10.0
133,-14.0,17.1,5.2
134,20.7,-15.8,4.9
135,23.5,17.2,5.3
136,32.9,49.9,10.8
137,-19.5,-28.1,8.2
138,23.6,-10.1,7.6
139,5.5,-32.1,7.7
140,41.9,8.9,6.9
141,22.4,23.5,5.5
142,7.5,5.3,3.0
143,-25.4,43.6,8.8
144,49.6,22.9,8.0
145,3.9,-7.8,4.1
146,13.1,14.3,4.8
147,-19.3,27.5,7.5
148,-13.3,10.3,5.9
149,49.4,25.1,10.5
150,19.6,-29.2,7.4
151,43.4,-36.4,10.5
152,-11.0,-26.7,7.1
153,33.7,-48.6,9.7
154,-15.6,1.1,6.5
155,30.5,-18.9,6.9
156,30.0,17.1,7.1
157,38.3,24.0,7.8
158,34.9,-49.9,9.7
159,-28.6,-34.5,8.9
160,-46.7,28.9,10.6
161,36.3,-3.8,7.3
162,6.1,44.4,7.1
163,33.1,-49.7,9.1
164,20.8,34.9,9.1
165,40.3,-16.5,8.0
166,19.0,48.0,8.7
167,8.9,6.1,4.8
168,7.5,-13.4,4.5
169,40.0,-19.7,9.3
170,42.8,45.0,10.0
171,-38.6,49.1,10.4
172,26.8,-11.6,6.3
173,-14.7,17.0,5.7
174,-7.7,-33.5,8.6
175,-28.6,-8.3,6.3
176,27.3,36.8,9.7
177,48.3,-28.2,11.2
178,-11.4,47.3,8.7
179,5.6,41.6,7.8
180,-5.9,-24.2,6.4
181,-47.3,41.5,10.0
182,-7.6,-15.2,5.2
183,-31.6,15.4,7.0
184,-22.3,3.0,5.8
185,10.8,10.0,5.0
186,-13.4,16.3,6.7
187,-38.2,14.0,8.0
188,-28.3,-6.3,5.6
189,8.6,-8.8,4.4
190,29.5,17.9,6.9
191,4.9,15.5,5.1
192,21.9,48.4,9.2
193,21.3,-1.4,5.4
194,14.7,49.5,9.5
195,-3.0,11.4,4.9
196,-48.1,-17.6,9.5
197,-19.4,3.3,6.2
198,43.5,21.1,8.0
199,-26.8,16.4,6.7
200,25.4,3.9,6.8
201,36.3,-26.1,8.2
202,28.4,27.4,8.1
203,-30.8,-21.4,6.8
204,30.5,40.3,10.2
205,43.1,2.7,8.0
206,-24.1,-12.0,6.5
207,-10.3,5.1,4.2
208,26.1,14.9,7.6
209,-19.4,-5.8,5.1
210,40.6,18.8,8.2
211,-18.9,11.1,6.5
212,-18.3,-0.2,5.6
213,-32.3,-31.2,8.9
214,-22.6,35.7,8.0
215,-0.1,-44.1,8.5
216,-37.7,-31.1,8.7
217,-11.8,-26.1,6.5
218,-42.2,1.7,7.2
219,-30.8,-31.2,8.5
220,-7.6,40.7,8.3
221,47.3,38.6,12.3
222,9.2,-8.8,4.5
223,12.7,12.8,4.7
224,-10.4,40.8,8.0
225,-6.8,48.1,9.0
226,39.3,-32.8,9.0
227,-8.6,18.8,5.3
228,-40.5,-30.3,8.7
229,17.5,7.2,5.0
230,-2.0,-42.8,8.0
231,6.1,-1.7,3.6
232,-34.0,-20.1,8.7
233,11.0,-14.9,4.8
234,45.7,45.5,9.4
235,-15.3,28.1,7.2
236,21.3,26.1,8.0
237,26.5,-1.5,7.7
238,8.0,36.3,8.2
239,-43.6,-37.5,10.6
240,14.4,-16.1,4.7
241,41.4,-45.6,10.5
242,5.2,-5.9,3.7
243,-34.7,1.4,6.4
244,26.8,-31.7,7.3
245,3.0,45.5,9.7
246,-49.7,34.3,9.4
247,36.6,-27.2,8.6
248,-25.6,5.9,7.1
249,1.8,35.7,8.7
250,19.9,-21.7,6.4
251,-34.0,-29.6,8.2
252,35.8,14.2,6.5
253,45.5,-31.8,9.7
254,10.6,28.1,7.0
255,26.9,-8.2,6.7
256,-7.1,2.3,3.3
257,-32.0,43.7,10.1
258,-4.3,-17.1,5.9
259,-9.5,-11.1,5.0
260,38.4,45.9,10.0
261,16.0,28.2,7.7
262,-49.0,-6.4,8.3
263,48.2,24.2,9.6
264,-21.6,0.6,6.6
265,-3.8,-17.5,5.1
266,35.6,18.8,6.8
267,27.2,-5.5,5.8
268,-23.3,-2.9,6.7
269,-47.4,30.3,9.4
270,47.5,-36.9,11.3
271,-25.3,-33.6,8.4
272,-7.6,-26.2,6.6
273,-4.1,-24.0,6.0
274,13.7,22.4,6.4
275,31.0,43.5,10.0
276,40.0,-0.9,7.5
277,-34.1,-31.2,8.5
278,-14.4,-29.3,7.2
279,31.4,-10.3,7.8
280,-24.9,39.7,8.3
281,-40.4,-10.0,7.3
282,-41.2,-43.5,11.5
283,46.8,-23.5,8.8
284,42.9,2.2,7.4
285,-30.0,15.4,7.0
286,36.1,-16.7,8.4
287,42.6,-42.9,10.6
288,-41.7,19.8,8.2
289,41.4,-26.1,9.0
290,29.0,-17.1,7.2
291,40.3,21.2,7.8
292,15.3,42.9,9.4
293,34.4,-30.0,8.1
294,-40.1,12.3,7.0
295,-6.7,32.6,8.2
296,14.3,-15.7,4.8
297,-23.8,-1.2,6.6
298,-35.8,-42.3,9.5
299,44.1,-20.6,9.5
300,-11.8,-23.7,7.0
301,-15.7,35.2,8.1
302,-16.1,28.0,7.2
303,-30.8,-13.7,7.2
304,17.8,40.7,9.0
305,-47.9,-0.6,7.8
306,1.2,-41.1,8.1
307,-1.9,30.9,6.6
308,-17.9,1.0,5.7
309,-41.4,-38.1,10.5
310,24.3,-32.5,7.7
311,-44.2,48.6,10.1
312,24.1,-39.5,8.7
313,42.5,-30.8,9.7
314,-25.6,5.4,6.7
315,-41.2,-49.6,11.1
316,44.9,-35.4,10.0
317,19.4,-9.9,6.0
318,-16.3,39.3,8.9
319,42.0,-10.4,7.5
320,11.7,14.9,5.0
321,27.6,-26.4,8.4
322,-20.2,-13.1,5.7
323,21.8,-22.7,6.8
324,-32.5,-16.1,6.8
325,24.6,45.9,10.7
326,22.2,-36.1,7.4
327,24.6,45.9,9.4
328,14.0,24.3,6.3
329,10.4,9.4,4.2
330,-34.5,5.2,6.7
331,12.7,33.3,7.3
332,-31.9,-15.6,8.0
333,-28.2,36.4,8.8
334,-13.8,14.1,4.7
335,46.4,23.9,8.7
336,49.5,18.8,10.0
337,-30.4,-17.7,7.2
338,-31.8,-35.9,9.1
339,23.6,-45.9,8.1
340,-24.9,32.4,8.3
341,22.6,-25.1,7.2
342,-28.1,-47.3,10.5
343,5.7,-44.7,7.2
344,17.6,8.1,4.5
345,19.8,-30.4,7.8
346,-40.6,-15.1,8.0
347,-0.3,22.5,5.4
348,5.9,-14.7,5.5
349,37.4,-36.0,9.0
350,18.7,-41.3,7.5
351,-14.6,-19.5,5.6
352,-32.8,-17.9,7.6
353,40.8,23.9,8.5
354,-10.3,4.3,4.6
355,10.1,-7.3,3.7
356,-43.0,-29.6,9.1
357,41.6,-5.9,8.1
358,43.4,-38.4,10.2
359,1.4,-48.7,8.6
360,39.7,-19.6,8.8
361,-38.4,7.4,6.7
362,11.4,-27.1,7.5
363,-4.2,43.3,8.7
364,-14.4,14.5,5.8
365,-31.1,9.3,6.8
366,-27.3,23.7,7.1
367,15.9,-39.6,7.6
368,13.1,1.7,3.5
369,-29.1,-17.4,8.0
370,49.3,-48.1,11.0
371,-38.1,-45.5,10.5
372,-25.9,-18.9,7.2
373,16.1,-44.3,8.5
374,32.0,-29.9,8.1
375,-37.2,-25.8,9.0
376,38.1,-24.5,7.5
377,0.2,48.5,8.8
378,-29.4,-17.1,7.2
379,-21.3,-4.2,6.5
380,-40.9,-13.1,7.6
381,12.8,23.1,6.8
382,-26.9,36.8,8.2
383,-30.6,10.0,7.3
384,-10.2,-1.4,5.0
385,-26.8,-5.1,7.5
386,-1.7,31.1,7.3
387,46.7,-3.5,9.4
388,-9.2,-26.3,7.6
389,-2.2,47.1,8.3
390,11.2,-23.6,5.3
391,25.1,-4.4,7.3
392,-0.4,20.0,5.7
393,-45.7,-10.5,8.7
394,-14.5,7.2,5.2
395,-23.3,23.5,8.1
396,15.3,-14.3,4.7
397,-18.4,-34.2,8.0
398,-40.9,32.7,8.2
399,10.0,15.8,5.1
