point_id,x_coord,y_coord,location_type
132,36.9,44.4,lobby
133,31.2,-39.9,huddle_space_3
134,2.1,43.2,cafe_entrance
135,0.1,-38.1,server_rack_row
136,8.0,-29.5,stairwell_C
137,34.2,46.0,parking_exit
138,-1.0,-38.6,conf_room_2
139,12.6,26.0,lobby
140,36.6,-15.4,interview_room
141,-25.1,-11.5,stairwell_C
142,41.1,13.8,delivery_bay
143,-17.4,44.3,delivery_bay
144,-46.6,19.1,stairwell_C
145,28.1,4.0,conf_room_2
146,-34.3,22.8,conf_room_2
147,48.9,24.1,cafe_entrance
148,-21.6,28.6,parking_exit
149,-9.9,-0.8,lobby
150,14.0,-24.3,lift_lobby_A
151,-20.4,45.8,restroom_south
152,39.6,-46.8,restroom_north
153,-32.2,-40.2,delivery_bay
154,-35.9,1.5,delivery_bay
155,5.4,21.3,conf_room_2
156,30.0,17.1,restroom_south
157,38.3,24.0,cafe_entrance
158,34.9,-49.9,security_desk
159,-28.6,-34.5,stairwell_C
160,-46.7,28.9,stairwell_C
161,36.3,-3.8,server_rack_row
162,6.1,44.4,parking_exit
163,33.1,-49.7,conf_room_1
164,20.8,34.9,lift_lobby_A
165,40.3,-16.5,restroom_north
166,19.0,48.0,conf_room_1
167,8.9,6.1,interview_room
168,7.5,-13.4,data_center_access
169,40.0,-19.7,stairwell_C
170,42.8,45.0,conf_room_1
171,-38.6,49.1,cafe_entrance
172,26.8,-11.6,cafe_entrance
173,-14.7,17.0,huddle_space_3
174,-7.7,-33.5,huddle_space_3
175,-28.6,-8.3,restroom_north
176,27.3,36.8,security_desk
177,48.3,-28.2,interview_room
178,-11.4,47.3,lift_lobby_A
179,5.6,41.6,huddle_space_3
180,-5.9,-24.2,stairwell_C
181,-47.3,41.5,conf_room_2
182,-7.6,-15.2,stairwell_C
183,-31.6,15.4,conf_room_1
184,-22.3,3.0,cafe_entrance
185,10.8,10.0,cafe_entrance
186,-13.4,16.3,lift_lobby_A
187,-38.2,14.0,parking_center
188,-28.3,-6.3,lift_lobby_A
189,8.6,-8.8,delivery_bay
190,29.5,17.9,parking_center
191,4.9,15.5,cafe_entrance
192,21.9,48.4,parking_exit
193,21.3,-1.4,parking_exit
194,14.7,49.5,parking_exit
195,-3.0,11.4,interview_room
196,-48.1,-17.6,lift_lobby_A
197,-19.4,3.3,interview_room
198,43.5,21.1,conf_room_1
199,-26.8,16.4,conf_room_2
200,25.4,3.9,conf_room_1
201,36.3,-26.1,restroom_north
202,28.4,27.4,conf_room_2
203,-30.8,-21.4,security_desk
204,30.5,40.3,parking_exit
205,43.1,2.7,security_desk
206,-24.1,-12.0,security_desk
207,-10.3,5.1,conf_room_1
208,26.1,14.9,data_center_access
209,-19.4,-5.8,conf_room_1
210,40.6,18.8,lobby
211,-18.9,11.1,lift_lobby_A
212,-18.3,-0.2,restroom_south
213,-32.3,-31.2,huddle_space_3
214,-22.6,35.7,lift_lobby_A
215,-0.1,-44.1,stairwell_C
216,-37.7,-31.1,lobby
217,-11.8,-26.1,restroom_south
218,-42.2,1.7,interview_room
219,-30.8,-31.2,lift_lobby_A
220,-7.6,40.7,parking_center
221,47.3,38.6,delivery_bay
222,9.2,-8.8,restroom_south
223,12.7,12.8,lift_lobby_A
224,-10.4,40.8,huddle_space_3
225,-6.8,48.1,lobby
226,39.3,-32.8,lobby
227,-8.6,18.8,lift_lobby_A
228,-40.5,-30.3,parking_exit
229,17.5,7.2,stairwell_C
230,-2.0,-42.8,server_rack_row
231,6.1,-1.7,conf_room_1
232,-34.0,-20.1,server_rack_row
233,11.0,-14.9,conf_room_1
234,45.7,45.5,interview_room
235,-15.3,28.1,restroom_south
236,21.3,26.1,conf_room_1
237,26.5,-1.5,delivery_bay
238,8.0,36.3,parking_center
239,-43.6,-37.5,lift_lobby_A
240,14.4,-16.1,lift_lobby_A
241,41.4,-45.6,lift_lobby_A
242,5.2,-5.9,data_center_access
243,-34.7,1.4,conf_room_1
244,26.8,-31.7,parking_center
245,3.0,45.5,interview_room
246,-49.7,34.3,interview_room
247,36.6,-27.2,restroom_south
248,-25.6,5.9,restroom_north
249,1.8,35.7,data_center_access
250,19.9,-21.7,parking_center
251,-34.0,-29.6,conf_room_2
252,35.8,14.2,security_desk
253,45.5,-31.8,cafe_entrance
254,10.6,28.1,lift_lobby_A
255,26.9,-8.2,stairwell_C
256,-7.1,2.3,stairwell_C
257,-32.0,43.7,parking_center
258,-4.3,-17.1,conf_room_1
259,-9.5,-11.1,interview_room
260,38.4,45.9,restroom_north
261,16.0,28.2,cafe_entrance
262,-49.0,-6.4,lobby
263,48.2,24.2,security_desk
264,-21.6,0.6,cafe_entrance
265,-3.8,-17.5,lift_lobby_A
266,35.6,18.8,conf_room_2
267,27.2,-5.5,conf_room_1
268,-23.3,-2.9,lift_lobby_A
269,-47.4,30.3,lobby
270,47.5,-36.9,parking_exit
271,-25.3,-33.6,server_rack_row
272,-7.6,-26.2,delivery_bay
273,-4.1,-24.0,interview_room
274,13.7,22.4,interview_room
275,31.0,43.5,parking_center
276,40.0,-0.9,parking_exit
277,-34.1,-31.2,lobby
278,-14.4,-29.3,conf_room_2
279,31.4,-10.3,parking_exit
280,-24.9,39.7,parking_exit
281,-40.4,-10.0,restroom_south
282,-41.2,-43.5,stairwell_C
283,46.8,-23.5,parking_center
284,42.9,2.2,parking_center
285,-30.0,15.4,cafe_entrance
286,36.1,-16.7,parking_exit
287,42.6,-42.9,conf_room_1
288,-41.7,19.8,cafe_entrance
289,41.4,-26.1,stairwell_C
290,29.0,-17.1,interview_room
291,40.3,21.2,lobby
292,15.3,42.9,conf_room_1
293,34.4,-30.0,restroom_north
294,-40.1,12.3,restroom_south
295,-6.7,32.6,parking_center
296,14.3,-15.7,server_rack_row
297,-23.8,-1.2,parking_center
298,-35.8,-42.3,cafe_entrance
299,44.1,-20.6,interview_room
300,-11.8,-23.7,server_rack_row
301,-15.7,35.2,server_rack_row
302,-16.1,28.0,parking_exit
303,-30.8,-13.7,server_rack_row
304,17.8,40.7,lift_lobby_A
305,-47.9,-0.6,security_desk
306,1.2,-41.1,cafe_entrance
307,-1.9,30.9,lift_lobby_A
308,-17.9,1.0,restroom_north
309,-41.4,-38.1,huddle_space_3
310,24.3,-32.5,lift_lobby_A
311,-44.2,48.6,delivery_bay
312,24.1,-39.5,data_center_access
313,42.5,-30.8,conf_room_1
314,-25.6,5.4,conf_room_2
315,-41.2,-49.6,stairwell_C
316,44.9,-35.4,interview_room
317,19.4,-9.9,interview_room
318,-16.3,39.3,huddle_space_3
319,42.0,-10.4,lift_lobby_A
320,11.7,14.9,lift_lobby_A
321,27.6,-26.4,interview_room
322,-20.2,-13.1,interview_room
323,-16.6,25.3,delivery_bay
324,-32.5,-16.1,parking_center
325,21.8,-22.7,interview_room
326,22.2,-36.1,parking_center
327,24.6,45.9,cafe_entrance
328,14.0,24.3,conf_room_2
329,10.4,9.4,conf_room_1
330,-34.5,5.2,conf_room_1
331,12.7,33.3,restroom_south
332,-31.9,-15.6,parking_exit
333,-28.2,36.4,cafe_entrance
334,-13.8,14.1,data_center_access
335,46.4,23.9,conf_room_2
336,49.5,18.8,conf_room_1
337,-30.4,-17.7,security_desk
338,-31.8,-35.9,server_rack_row
339,23.6,-45.9,delivery_bay
340,-24.9,32.4,conf_room_1
341,22.6,-25.1,data_center_access
342,-28.1,-47.3,interview_room
343,5.7,-44.7,parking_exit
344,17.6,8.1,parking_center
345,19.8,-30.4,data_center_access
346,-40.6,-15.1,parking_center
347,-0.3,22.5,restroom_south
348,5.9,-14.7,parking_exit
349,37.4,-36.0,restroom_south
350,18.7,-41.3,restroom_south
351,-14.6,-19.5,stairwell_C
352,-32.8,-17.9,huddle_space_3
353,40.8,23.9,restroom_south
354,-10.3,4.3,restroom_south
355,10.1,-7.3,conf_room_1
356,-43.0,-29.6,lift_lobby_A
357,41.6,-5.9,conf_room_2
358,43.4,-38.4,restroom_south
359,1.4,-48.7,data_center_access
360,39.7,-19.6,delivery_bay
361,-38.4,7.4,security_desk
362,11.4,-27.1,stairwell_C
363,-4.2,43.3,parking_center
364,-14.4,14.5,server_rack_row
365,-31.1,9.3,restroom_north
366,-27.3,23.7,conf_room_1
367,15.9,-39.6,interview_room
368,13.1,1.7,server_rack_row
369,-29.1,-17.4,interview_room
370,49.3,-48.1,stairwell_C
371,-38.1,-45.5,stairwell_C
372,-25.9,-18.9,security_desk
373,16.1,-44.3,restroom_north
374,32.0,-29.9,lobby
375,-37.2,-25.8,stairwell_C
376,38.1,-24.5,cafe_entrance
377,0.2,48.5,restroom_north
378,-29.4,-17.1,delivery_bay
379,-21.3,-4.2,restroom_south
380,-40.9,-13.1,lift_lobby_A
381,12.8,23.1,data_center_access
382,-26.9,36.8,conf_room_2
383,-30.6,10.0,delivery_bay
384,-10.2,-1.4,huddle_space_3
385,-26.8,-5.1,delivery_bay
386,-1.7,31.1,restroom_south
387,46.7,-3.5,parking_exit
388,-9.2,-26.3,delivery_bay
389,-2.2,47.1,interview_room
390,11.2,-23.6,restroom_north
391,25.1,-4.4,parking_center
392,-0.4,20.0,parking_exit
393,-45.7,-10.5,cafe_entrance
394,-14.5,7.2,stairwell_C
395,-23.3,23.5,security_desk
396,15.3,-14.3,security_desk
397,-18.4,-34.2,parking_center
398,-40.9,32.7,interview_room
399,10.0,15.8,conf_room_2
