sensor_reading_index,pressure_reading,time_minute
230,997.92,230
231,998.62,231
232,998.44,232
233,997.83,233
234,1000.02,234
235,998.76,235
236,996.58,236
237,998.3,237
238,997.57,238
239,998.73,239
240,997.37,240
241,997.86,241
242,998.3,242
243,998.54,243
244,996.84,244
245,997.48,245
246,997.32,246
247,997.13,247
248,999.01,248
249,997.87,249
250,996.49,250
251,998.18,251
252,999.1,252
253,998.18,253
254,996.08,254
255,996.86,255
256,998.21,256
257,996.58,257
258,997.46,258
259,997.67,259
260,996.26,260
261,996.9,261
262,994.31,262
263,996.03,263
264,996.6,264
265,995.75,265
266,998.01,266
267,995.51,267
268,996.25,268
269,996.65,269
270,997.65,270
271,995.3,271
272,997.33,272
273,996.36,273
274,995.51,274
275,996.62,275
276,996.36,276
277,995.67,277
278,996.16,278
279,995.74,279
280,996.09,280
281,996.48,281
282,997.17,282
283,994.86,283
284,997.51,284
285,994.19,285
286,995.58,286
287,996.12,287
288,995.82,288
289,995.05,289
290,995.33,290
291,995.06,291
292,994.93,292
293,996.03,293
294,995.59,294
295,994.7,295
296,995.92,296
297,995.4,297
298,995.75,298
299,995.55,299
300,994.34,300
301,994.5,301
302,995.5,302
303,995.34,303
304,994.78,304
305,994.84,305
306,995.72,306
307,994.18,307
308,995.04,308
309,994.39,309
310,994.33,310
311,995.33,311
312,995.06,312
313,995.0,313
314,995.34,314
315,994.27,315
316,994.75,316
317,993.9,317
318,994.36,318
319,993.95,319
320,994.08,320
321,994.43,321
322,993.25,322
323,995.52,323
324,993.0,324
325,992.78,325
326,994.63,326
327,994.28,327
328,994.1,328
329,994.05,329
330,993.49,330
331,992.73,331
332,993.46,332
333,992.81,333
334,994.08,334
335,993.13,335
336,992.54,336
337,992.89,337
338,993.43,338
339,992.6,339
340,992.34,340
341,993.14,341
342,993.1,342
343,992.44,343
344,992.42,344
345,992.94,345
346,991.54,346
347,991.52,347
348,992.03,348
349,992.38,349
350,992.75,350
351,993.63,351
352,993.09,352
353,992.22,353
354,992.28,354
355,991.45,355
356,992.19,356
357,991.92,357
358,992.36,358
359,991.39,359
360,992.42,360
361,993.18,361
362,991.81,362
363,992.17,363
364,992.35,364
365,991.43,365
366,991.88,366
367,991.66,367
368,991.68,368
369,990.93,369
370,991.52,370
371,991.85,371
372,992.56,372
373,992.12,373
374,993.02,374
375,990.64,375
376,991.9,376
377,991.3,377
378,992.85,378
379,990.4,379
380,990.33,380
381,990.47,381
382,989.2,382
383,990.43,383
384,990.19,384
385,990.87,385
386,990.97,386
387,992.15,387
388,991.36,388
389,990.09,389
390,989.78,390
391,990.84,391
392,989.34,392
393,991.82,393
394,991.24,394
395,989.87,395
396,988.83,396
397,991.23,397
398,990.01,398
399,991.04,399
