slot_node,x_coord,y_coord,capacity
173,20.5,34.7,3
174,24.7,41.1,1
175,5.3,46.8,5
176,35.9,45.9,5
177,10.2,28.0,4
178,43.6,42.9,5
179,28.6,22.6,2
180,36.2,46.6,1
181,21.6,34.0,4
182,17.5,14.0,3
183,18.2,29.5,2
184,44.8,34.3,2
185,19.9,39.5,2
186,23.2,5.5,5
187,3.4,18.7,4
188,46.8,44.0,2
189,8.1,3.7,2
190,45.4,39.0,2
191,33.2,33.7,5
192,28.1,26.2,5
193,7.7,22.5,4
194,31.7,43.2,3
195,42.4,44.6,4
196,7.6,29.6,5
197,19.9,26.9,4
198,6.3,12.5,2
199,3.8,14.0,4
200,1.9,32.4,4
201,13.6,35.3,4
202,40.9,27.3,4
203,30.1,33.9,2
204,48.5,0.4,4
205,50.0,41.8,4
206,27.2,8.8,5
207,41.6,32.9,3
208,3.0,10.0,5
209,44.0,15.4,2
210,12.2,49.0,4
211,7.9,31.0,2
212,46.7,22.4,5
213,19.2,34.7,4
214,18.8,8.0,1
215,37.4,46.1,3
216,40.8,14.4,3
217,21.9,9.5,2
218,38.5,11.3,2
219,36.9,31.1,5
220,45.3,19.6,2
221,19.0,5.8,4
222,1.5,19.3,3
223,14.0,28.2,1
224,7.7,33.3,1
225,8.4,49.5,2
226,17.3,42.6,3
227,5.1,27.7,3
228,14.1,41.0,3
229,11.8,8.4,4
230,12.0,24.3,5
231,5.6,7.0,4
232,1.3,19.5,3
233,30.4,46.2,3
234,49.3,7.3,2
235,17.6,7.8,5
236,25.4,49.4,2
237,7.2,26.6,1
238,7.5,4.8,1
239,42.7,24.1,2
240,33.2,12.3,3
241,16.7,3.6,5
242,13.1,33.3,2
243,6.7,34.8,4
244,14.8,17.4,4
245,49.8,5.3,1
246,36.7,3.3,5
247,44.6,5.1,4
248,28.0,16.1,5
249,21.7,11.9,4
250,2.4,48.6,3
251,40.6,12.6,1
252,21.2,34.3,2
253,40.5,15.9,5
254,30.6,33.9,4
255,20.6,23.3,3
256,24.1,9.8,2
257,41.8,9.6,3
258,25.5,27.0,5
259,1.2,19.3,5
260,43.3,14.4,3
261,9.5,14.7,1
262,11.0,14.5,4
263,28.0,32.1,5
264,30.4,37.1,4
265,17.4,38.2,4
266,10.5,4.6,3
267,35.2,22.1,4
268,37.9,3.9,5
269,34.3,25.8,3
270,31.4,48.0,1
271,29.3,16.1,5
272,21.4,5.2,4
273,43.6,30.3,4
274,25.9,24.9,5
275,28.4,26.5,4
276,24.8,33.7,3
277,38.5,6.2,5
278,36.3,23.7,1
279,7.2,18.5,4
280,48.4,2.2,4
281,20.7,6.7,1
282,39.1,24.2,4
283,35.1,17.3,3
284,41.0,7.5,5
285,24.7,27.2,1
286,39.8,9.4,3
287,41.8,18.3,5
288,49.2,6.7,4
289,14.6,36.8,2
290,35.3,3.3,1
291,25.2,11.9,3
292,13.3,29.7,3
293,9.7,19.8,2
294,47.0,33.5,4
295,13.6,46.7,2
296,21.8,41.4,5
297,3.2,10.2,1
298,37.1,1.8,2
299,22.6,45.1,3
300,9.7,16.9,4
301,41.7,10.3,5
302,23.7,4.6,3
303,31.5,10.3,2
304,1.2,25.8,3
305,16.7,9.8,1
306,40.5,6.5,4
307,5.5,19.6,2
308,47.3,22.3,2
309,46.6,11.2,5
310,29.7,14.9,2
311,41.7,42.2,2
312,18.9,25.5,1
313,24.8,23.9,2
314,0.7,25.8,2
315,20.4,39.8,2
316,18.8,38.3,1
317,44.0,19.6,5
318,29.8,23.9,5
319,14.3,8.7,2
320,23.7,12.1,5
321,38.2,24.2,2
322,36.1,22.9,2
323,17.2,24.9,1
324,10.1,9.4,2
325,30.2,27.4,2
326,14.2,45.1,5
327,10.5,30.0,1
328,40.4,10.7,5
329,19.3,17.9,3
330,4.7,12.7,3
331,6.8,27.9,2
332,24.5,40.7,3
333,2.7,14.3,3
334,40.5,42.1,4
335,28.5,35.6,3
336,49.3,27.7,3
337,26.6,40.2,1
338,13.4,12.6,2
339,25.2,24.0,4
340,10.8,15.6,1
341,18.2,45.8,5
342,34.7,18.2,3
343,35.4,25.6,4
344,0.6,22.1,1
345,16.9,1.5,5
346,7.0,21.8,2
347,25.7,31.7,4
348,48.4,31.0,2
349,46.1,12.4,3
350,16.2,27.0,4
351,12.1,39.1,2
352,3.4,34.3,2
353,24.6,13.8,3
354,18.6,49.2,1
355,32.7,18.7,5
356,24.9,21.0,4
357,23.2,20.3,4
358,37.5,22.9,1
359,7.1,47.3,2
360,9.7,22.1,5
361,47.1,19.3,2
362,12.3,40.8,5
363,43.2,41.8,3
364,33.2,22.4,2
365,1.3,23.5,3
366,43.4,14.4,2
367,12.5,14.1,1
368,19.8,45.2,2
369,0.9,29.6,2
370,39.1,37.3,2
371,7.3,48.2,1
372,20.3,7.8,1
373,22.0,15.0,2
374,9.5,31.7,1
375,44.8,21.6,1
376,10.4,4.4,3
377,13.5,4.5,2
378,43.2,18.2,2
379,11.2,29.6,2
380,34.0,0.2,1
381,36.8,45.6,3
382,0.2,41.2,1
383,11.6,43.4,1
384,12.7,16.8,1
385,38.6,26.8,5
386,33.5,29.4,4
387,42.2,28.2,5
388,32.0,39.4,1
389,44.4,13.4,2
390,16.9,24.9,4
391,49.1,21.3,1
392,45.2,41.6,2
393,0.6,39.8,3
394,38.6,10.6,1
395,10.5,18.8,4
396,32.2,13.5,4
397,45.9,9.6,4
398,16.1,44.9,2
399,48.7,6.0,5
400,15.5,40.6,1
401,32.7,25.1,3
402,11.6,2.9,5
403,47.7,29.8,4
404,25.1,37.7,3
