arrival_time,entry_node,vehicle_id
126,12,Car-323
126,15,Van-324
127,12,Car-325
127,0,Car-326
128,12,Auto-327
129,5,Bus-329
129,20,Car-330
129,5,Car-328
130,20,Bike-331
130,10,Van-332
131,10,Van-333
131,5,Bus-334
132,30,Bike-335
132,5,Bus-336
133,12,Bike-337
134,30,Bike-338
135,10,Bus-339
135,20,Van-340
136,20,Auto-342
136,5,Car-341
137,5,Bike-344
137,20,Car-343
138,15,Car-345
138,20,Bike-346
139,30,Bike-347
140,15,Bus-348
140,12,Bus-349
140,20,Car-350
141,12,Van-351
142,0,Auto-352
142,20,Van-353
142,30,Bike-354
143,15,Auto-356
143,20,Bike-355
144,15,Bus-357
144,10,Bus-358
145,20,Van-359
146,25,Auto-360
146,30,Bike-361
146,12,Bike-362
147,5,Car-363
148,20,Auto-364
148,12,Van-365
149,20,Van-366
149,15,Van-367
150,25,Van-369
150,5,Car-368
151,25,Bus-370
152,5,Car-371
152,20,Bus-372
153,15,Auto-373
153,12,Car-374
153,10,Car-375
154,10,Auto-376
154,15,Bus-377
155,10,Auto-378
156,0,Auto-379
157,12,Bike-381
157,5,Car-380
158,5,Car-382
159,5,Auto-383
159,15,Car-384
160,10,Car-385
160,5,Bike-386
161,25,Bus-387
162,25,Bike-389
162,30,Auto-388
162,25,Van-390
163,0,Van-392
163,0,Bus-391
164,20,Bike-394
164,12,Van-393
165,12,Bike-395
165,15,Car-396
166,20,Van-397
166,20,Van-398
167,12,Car-399
167,30,Bus-400
168,20,Car-401
168,10,Auto-402
169,25,Bus-403
170,12,Bus-405
170,12,Auto-406
170,25,Bike-404
171,10,Bus-407
171,0,Car-408
172,25,Auto-409
172,10,Bus-410
173,5,Auto-411
173,25,Auto-412
173,0,Van-413
173,20,Auto-414
174,10,Car-415
174,25,Bike-416
175,12,Bike-417
176,5,Bus-419
176,25,Bike-418
177,0,Van-420
178,15,Bike-421
178,0,Car-422
179,25,Bike-423
180,10,Bike-424
180,30,Bike-425
180,0,Van-426
181,30,Van-427
182,25,Car-428
183,15,Bike-430
183,15,Bike-429
184,12,Auto-431
184,25,Bike-432
185,15,Bus-433
185,10,Van-434
186,30,Van-435
187,5,Bus-436
188,25,Van-437
188,20,Bus-438
189,10,Bus-440
189,12,Auto-439
190,12,Auto-442
190,30,Van-443
190,25,Van-441
191,12,Bike-444
191,12,Bike-445
192,0,Auto-446
193,30,Car-447
193,12,Car-448
193,0,Car-449
194,30,Car-450
195,15,Bike-451
196,20,Van-452
197,20,Bus-453
197,15,Auto-454
198,30,Bus-456
198,5,Bike-455
199,12,Car-457
200,15,Auto-458
200,10,Bus-459
201,30,Car-460
201,30,Van-461
201,30,Auto-462
202,15,Car-463
202,5,Auto-464
202,20,Auto-465
203,12,Bus-466
204,5,Van-468
204,15,Bus-467
205,0,Van-469
205,30,Car-470
205,25,Bike-471
206,20,Van-472
206,5,Bike-473
207,12,Van-474
207,30,Car-475
208,30,Van-476
208,20,Auto-477
209,20,Auto-478
210,10,Bus-479
211,0,Auto-480
211,25,Bus-481
212,25,Car-482
212,15,Bike-483
213,20,Van-484
214,20,Car-485
214,25,Bus-486
215,20,Auto-487
216,12,Bus-488
216,12,Bus-489
217,30,Auto-490
218,30,Bike-491
218,20,Bus-492
219,10,Car-493
219,10,Car-494
