entry_node,entry_name,x_coord,y_coord
104,Auditorium_Entrance_104,21.5,1.2
106,West_Gate_106,9.1,31.5
108,Metro_Overpass_Link_108,22.3,33.8
110,Emergency_Exit_Ramp_110,49.1,15.1
112,Student_Center_Door_112,31.3,2.2
114,Emergency_Exit_Ramp_114,46.7,43.9
116,Service_Gate_116,7.1,45.2
118,Student_Center_Door_118,8.3,21.1
120,West_Gate_120,37.6,46.1
122,East_Gate_122,33.4,25.4
124,Back_Office_Entry_124,31.4,31.5
126,Delivery_Dock_126,23.3,14.7
128,South_Gate_128,30.6,0.2
130,Hostel_Block_A_Access_130,40.0,49.9
132,Faculty_Parking_Entry_132,28.8,45.7
134,North_Gate_134,28.2,43.9
136,Hostel_Block_A_Access_136,9.8,47.9
138,West_Gate_138,17.2,49.1
140,Research_Park_Gate_140,18.7,3.9
142,Hostel_Block_A_Access_142,10.2,11.8
144,Metro_Overpass_Link_144,17.2,0.5
146,Medical_Wing_Access_146,35.3,27.5
148,East_Gate_148,43.5,20.7
150,Emergency_Exit_Ramp_150,25.4,21.7
152,Delivery_Dock_152,27.7,42.5
154,North_Gate_154,8.7,35.0
156,Medical_Wing_Access_156,47.1,42.5
158,Gymnasium_Door_158,15.2,20.0
160,Back_Office_Entry_160,38.2,38.2
162,Auditorium_Entrance_162,40.6,45.0
164,Metro_Overpass_Link_164,0.4,11.2
166,Faculty_Parking_Entry_166,25.2,43.2
168,East_Gate_168,36.6,0.7
170,Research_Park_Gate_170,46.9,3.4
172,Metro_Overpass_Link_172,0.7,2.0
174,Delivery_Dock_174,27.4,23.3
176,Auditorium_Entrance_176,19.0,21.7
178,Delivery_Dock_178,30.3,21.6
180,South_Gate_180,35.7,30.8
182,Hostel_Block_A_Access_182,10.5,7.9
184,West_Gate_184,4.5,42.9
186,South_Gate_186,35.7,49.0
188,South_Gate_188,19.0,10.0
190,Hostel_Block_A_Access_190,49.4,24.5
192,Auditorium_Entrance_192,22.2,25.8
194,West_Gate_194,20.6,5.2
196,West_Gate_196,25.7,22.3
198,North_Gate_198,9.9,30.8
200,Auditorium_Entrance_200,39.9,35.5
202,Hostel_Block_A_Access_202,28.6,37.2
204,Emergency_Exit_Ramp_204,25.9,11.1
206,South_Gate_206,21.5,35.5
208,Hostel_Block_A_Access_208,42.0,4.1
210,North_Gate_210,37.6,39.2
212,Research_Park_Gate_212,30.8,10.7
214,South_Gate_214,6.3,23.7
216,Faculty_Parking_Entry_216,10.4,15.2
218,Student_Center_Door_218,33.3,45.3
220,Research_Park_Gate_220,2.8,14.0
222,Medical_Wing_Access_222,48.1,2.2
224,Gymnasium_Door_224,4.3,13.4
226,Delivery_Dock_226,6.9,29.5
228,North_Gate_228,15.2,28.4
230,Library_Entry_230,40.3,3.5
232,Research_Park_Gate_232,30.5,14.8
234,Gymnasium_Door_234,21.8,20.2
236,Metro_Overpass_Link_236,38.8,13.9
238,Student_Center_Door_238,41.9,11.6
240,North_Gate_240,25.8,29.5
242,Faculty_Parking_Entry_242,46.3,36.3
244,Auditorium_Entrance_244,48.8,25.2
246,Library_Entry_246,32.3,10.2
248,Back_Office_Entry_248,25.7,7.7
250,Back_Office_Entry_250,7.1,12.0
252,South_Gate_252,7.5,24.8
254,Hostel_Block_A_Access_254,27.5,5.6
256,South_Gate_256,31.2,22.1
258,Library_Entry_258,39.3,39.4
260,South_Gate_260,13.4,7.0
262,West_Gate_262,7.1,44.9
264,Back_Office_Entry_264,42.8,26.5
266,South_Gate_266,34.8,45.4
268,Auditorium_Entrance_268,35.3,29.2
270,Library_Entry_270,19.8,4.2
272,West_Gate_272,5.2,39.8
274,Medical_Wing_Access_274,28.5,30.7
276,Faculty_Parking_Entry_276,12.1,23.1
278,South_Gate_278,20.6,14.7
280,Gymnasium_Door_280,28.2,40.5
282,Faculty_Parking_Entry_282,20.9,22.8
284,Delivery_Dock_284,15.7,42.7
286,Delivery_Dock_286,14.7,14.7
288,Student_Center_Door_288,37.5,29.6
290,Library_Entry_290,11.6,18.1
292,East_Gate_292,13.7,47.8
294,Emergency_Exit_Ramp_294,32.3,0.8
296,North_Gate_296,0.2,7.7
298,Back_Office_Entry_298,28.5,40.4
300,Metro_Overpass_Link_300,0.6,25.3
302,North_Gate_302,30.9,17.3
304,Faculty_Parking_Entry_304,7.0,37.1
306,Emergency_Exit_Ramp_306,23.0,11.8
308,Library_Entry_308,20.6,24.4
310,Emergency_Exit_Ramp_310,42.2,13.8
312,East_Gate_312,15.5,23.9
314,Metro_Overpass_Link_314,2.1,26.2
316,Delivery_Dock_316,0.6,0.4
318,Service_Gate_318,21.9,8.9
320,North_Gate_320,27.1,10.9
322,Service_Gate_322,0.7,46.6
324,Gymnasium_Door_324,32.5,2.9
326,Library_Entry_326,31.2,34.6
328,Medical_Wing_Access_328,37.0,46.1
330,Auditorium_Entrance_330,33.3,19.4
332,West_Gate_332,15.2,40.7
334,Metro_Overpass_Link_334,0.9,40.5
336,South_Gate_336,37.5,12.1
338,Student_Center_Door_338,38.2,31.7
340,Delivery_Dock_340,21.6,7.0
342,Metro_Overpass_Link_342,44.2,16.4
344,Medical_Wing_Access_344,32.4,46.4
346,Library_Entry_346,1.2,10.6
348,Library_Entry_348,25.8,15.5
350,North_Gate_350,48.0,15.7
352,Library_Entry_352,4.7,6.5
354,Hostel_Block_A_Access_354,29.5,3.4
356,Service_Gate_356,33.6,23.4
358,Auditorium_Entrance_358,7.4,0.3
360,Student_Center_Door_360,15.7,42.2
362,East_Gate_362,7.2,27.4
364,Faculty_Parking_Entry_364,9.4,26.2
366,North_Gate_366,33.4,38.1
368,Library_Entry_368,22.0,12.5
370,Student_Center_Door_370,1.3,25.7
372,South_Gate_372,43.3,19.4
374,Student_Center_Door_374,47.2,36.8
376,Faculty_Parking_Entry_376,6.6,0.8
378,West_Gate_378,30.5,13.3
380,West_Gate_380,16.7,14.5
382,East_Gate_382,32.3,49.1
384,East_Gate_384,34.5,36.5
386,Auditorium_Entrance_386,10.1,42.3
388,Library_Entry_388,17.5,29.6
390,Library_Entry_390,6.0,46.4
392,Student_Center_Door_392,0.0,11.5
394,Auditorium_Entrance_394,28.2,34.3
396,Hostel_Block_A_Access_396,23.7,47.7
398,South_Gate_398,3.5,28.3
400,Auditorium_Entrance_400,37.3,30.6
402,Delivery_Dock_402,8.4,13.9
404,Faculty_Parking_Entry_404,41.3,42.9
406,West_Gate_406,9.4,41.6
408,East_Gate_408,44.5,49.6
410,Library_Entry_410,36.5,32.7
412,North_Gate_412,22.1,47.9
414,Research_Park_Gate_414,14.0,42.7
416,Faculty_Parking_Entry_416,21.4,25.4
418,South_Gate_418,23.4,29.6
420,Research_Park_Gate_420,12.0,25.2
422,Auditorium_Entrance_422,32.1,36.6
424,Research_Park_Gate_424,46.8,26.8
426,South_Gate_426,44.3,17.8
428,Medical_Wing_Access_428,27.0,2.1
430,Student_Center_Door_430,21.8,34.5
432,Back_Office_Entry_432,14.0,31.1
434,Service_Gate_434,9.4,37.9
436,Auditorium_Entrance_436,46.5,13.7
438,Emergency_Exit_Ramp_438,3.7,23.6
440,North_Gate_440,6.4,17.8
442,Metro_Overpass_Link_442,21.3,13.3
444,Research_Park_Gate_444,18.4,24.2
446,Library_Entry_446,0.3,42.5
448,South_Gate_448,1.7,43.1
450,Delivery_Dock_450,9.4,10.8
452,South_Gate_452,29.4,35.9
454,South_Gate_454,46.7,25.1
456,Back_Office_Entry_456,34.6,21.1
458,Metro_Overpass_Link_458,18.4,22.2
460,Hostel_Block_A_Access_460,4.5,43.6
462,Faculty_Parking_Entry_462,24.5,25.0
464,North_Gate_464,12.1,49.3
466,Metro_Overpass_Link_466,6.8,11.4
468,Gymnasium_Door_468,20.5,49.8
470,Delivery_Dock_470,31.3,39.4
472,Library_Entry_472,19.7,7.2
474,Research_Park_Gate_474,44.6,7.2
476,Research_Park_Gate_476,20.3,5.9
478,Student_Center_Door_478,13.9,46.2
480,Medical_Wing_Access_480,40.0,19.0
482,South_Gate_482,26.0,20.1
484,South_Gate_484,33.1,49.7
486,Faculty_Parking_Entry_486,11.2,32.2
488,Medical_Wing_Access_488,45.0,48.0
490,Research_Park_Gate_490,34.5,25.5
492,South_Gate_492,28.6,28.8
494,South_Gate_494,14.0,0.3
496,Emergency_Exit_Ramp_496,45.0,35.9
498,Student_Center_Door_498,23.2,1.5
500,Back_Office_Entry_500,32.5,23.2
502,West_Gate_502,11.5,43.5
504,Back_Office_Entry_504,39.5,45.4
506,Hostel_Block_A_Access_506,38.4,15.7
508,Back_Office_Entry_508,10.6,43.9
510,Delivery_Dock_510,1.2,24.2
512,West_Gate_512,41.2,13.3
514,Service_Gate_514,17.4,26.7
516,Auditorium_Entrance_516,18.2,4.2
518,West_Gate_518,6.9,24.4
520,Back_Office_Entry_520,4.5,42.3
522,Medical_Wing_Access_522,43.3,26.9
524,Delivery_Dock_524,48.7,22.1
526,Hostel_Block_A_Access_526,18.4,36.9
528,East_Gate_528,16.5,39.1
530,Delivery_Dock_530,5.7,45.6
532,Back_Office_Entry_532,27.0,31.3
534,Hostel_Block_A_Access_534,43.5,42.2
536,Medical_Wing_Access_536,41.0,10.5
538,Library_Entry_538,39.6,40.2
540,Gymnasium_Door_540,27.5,18.5
542,Auditorium_Entrance_542,16.4,37.2
544,Auditorium_Entrance_544,33.0,17.0
546,Back_Office_Entry_546,30.6,23.9
548,Service_Gate_548,39.8,20.0
550,Hostel_Block_A_Access_550,21.8,1.6
552,Emergency_Exit_Ramp_552,19.5,20.3
554,Metro_Overpass_Link_554,29.9,12.2
556,Auditorium_Entrance_556,1.3,25.8
558,Back_Office_Entry_558,3.3,8.4
560,West_Gate_560,46.6,35.6
562,Back_Office_Entry_562,48.1,15.3
564,Gymnasium_Door_564,0.2,28.7
566,Metro_Overpass_Link_566,34.7,19.8
568,Gymnasium_Door_568,37.7,17.5
570,West_Gate_570,14.1,8.6
572,East_Gate_572,21.0,49.0
574,Back_Office_Entry_574,21.5,40.1
576,West_Gate_576,8.6,15.0
578,North_Gate_578,5.2,46.9
580,South_Gate_580,29.2,4.4
582,Research_Park_Gate_582,46.4,30.6
584,Service_Gate_584,34.1,1.0
586,Student_Center_Door_586,39.1,7.5
588,South_Gate_588,17.5,8.9
590,Library_Entry_590,25.0,41.7
592,East_Gate_592,3.1,48.9
594,North_Gate_594,22.5,1.2
596,Research_Park_Gate_596,29.0,17.2
598,Service_Gate_598,21.5,15.3
600,Gymnasium_Door_600,20.9,7.3
602,Auditorium_Entrance_602,40.3,45.5
604,West_Gate_604,2.6,27.2
606,Emergency_Exit_Ramp_606,14.7,24.3
608,South_Gate_608,46.9,19.6
610,Faculty_Parking_Entry_610,31.7,42.5
612,Medical_Wing_Access_612,0.3,44.5
614,Auditorium_Entrance_614,3.3,49.0
616,Hostel_Block_A_Access_616,16.5,35.4
618,Medical_Wing_Access_618,49.9,32.5
620,Medical_Wing_Access_620,23.3,17.2
622,Metro_Overpass_Link_622,36.3,13.2
624,Student_Center_Door_624,16.8,0.3
626,West_Gate_626,18.0,4.3
628,Back_Office_Entry_628,12.0,36.6
630,Service_Gate_630,8.9,0.4
632,Research_Park_Gate_632,3.4,8.6
634,Library_Entry_634,47.9,25.8
636,Service_Gate_636,3.9,5.9
638,West_Gate_638,5.6,44.0
640,Medical_Wing_Access_640,8.0,35.3
642,North_Gate_642,1.6,17.1
644,Auditorium_Entrance_644,39.4,37.9
646,Library_Entry_646,26.9,3.4
648,Delivery_Dock_648,2.5,24.2
650,Auditorium_Entrance_650,4.3,46.9
652,Student_Center_Door_652,25.0,47.8
654,Back_Office_Entry_654,23.1,10.6
656,West_Gate_656,15.1,43.7
658,Service_Gate_658,45.9,49.7
660,Service_Gate_660,2.0,9.2
662,South_Gate_662,22.9,38.4
664,Faculty_Parking_Entry_664,5.8,20.0
666,South_Gate_666,9.0,38.5
668,East_Gate_668,36.1,47.7
670,Faculty_Parking_Entry_670,21.3,27.3
672,Back_Office_Entry_672,32.8,49.7
674,Faculty_Parking_Entry_674,33.5,24.3
676,Auditorium_Entrance_676,8.6,17.5
678,Gymnasium_Door_678,12.0,35.9
680,Service_Gate_680,25.2,2.4
682,East_Gate_682,23.4,8.1
684,Gymnasium_Door_684,34.2,1.7
686,Gymnasium_Door_686,40.3,15.8
688,Student_Center_Door_688,6.1,25.8
690,Student_Center_Door_690,19.2,42.8
692,Library_Entry_692,3.1,1.9
694,Faculty_Parking_Entry_694,24.1,24.1
696,Library_Entry_696,3.7,4.9
698,Metro_Overpass_Link_698,14.4,5.3
700,North_Gate_700,13.2,10.7
702,Back_Office_Entry_702,20.7,13.1
704,Emergency_Exit_Ramp_704,17.1,2.3
706,Medical_Wing_Access_706,9.2,2.9
708,Metro_Overpass_Link_708,3.7,1.4
710,Student_Center_Door_710,35.6,23.4
712,South_Gate_712,33.0,28.4
714,South_Gate_714,42.9,12.5
716,North_Gate_716,32.5,24.6
718,Library_Entry_718,24.8,20.6
720,Hostel_Block_A_Access_720,13.5,27.8
722,Delivery_Dock_722,25.7,19.5
724,Service_Gate_724,35.0,42.8
726,North_Gate_726,28.0,35.9
728,Gymnasium_Door_728,23.1,26.4
730,Emergency_Exit_Ramp_730,13.1,36.3
732,South_Gate_732,22.3,46.7
734,Service_Gate_734,29.9,43.1
736,Hostel_Block_A_Access_736,33.7,32.1
738,Service_Gate_738,41.1,24.2
740,Delivery_Dock_740,29.2,43.7
742,Hostel_Block_A_Access_742,1.0,27.8
744,Emergency_Exit_Ramp_744,17.6,19.9
746,Library_Entry_746,24.5,35.5
748,Delivery_Dock_748,24.4,14.2
750,Service_Gate_750,46.8,22.6
752,Emergency_Exit_Ramp_752,49.2,11.7
754,West_Gate_754,14.2,30.9
756,Hostel_Block_A_Access_756,10.7,17.7
758,Student_Center_Door_758,47.4,19.0
760,Emergency_Exit_Ramp_760,5.0,39.2
762,Gymnasium_Door_762,37.0,4.0
764,Delivery_Dock_764,20.3,25.5
766,Student_Center_Door_766,43.0,24.6
768,South_Gate_768,15.4,22.9
770,Student_Center_Door_770,29.1,30.5
772,Delivery_Dock_772,23.8,1.5
774,Emergency_Exit_Ramp_774,7.3,24.3
776,Gymnasium_Door_776,5.4,31.8
778,Research_Park_Gate_778,22.8,29.5
780,Hostel_Block_A_Access_780,42.0,10.9
782,Back_Office_Entry_782,4.6,25.7
784,West_Gate_784,3.1,16.8
786,Student_Center_Door_786,38.4,17.7
788,Back_Office_Entry_788,46.5,24.5
790,Service_Gate_790,17.3,31.7
792,Auditorium_Entrance_792,27.8,17.5
794,West_Gate_794,15.6,17.9
796,Student_Center_Door_796,5.2,41.8
798,Faculty_Parking_Entry_798,29.7,24.5
800,Research_Park_Gate_800,0.9,25.9
802,East_Gate_802,19.5,26.7
804,Student_Center_Door_804,0.6,41.6
